Fault ID,Fault Type,"Fault Location (Latitude, Longitude)",Voltage (V),Current (A),Power Load (MW),Temperature (°C),Wind Speed (km/h),Weather Condition,Maintenance Status,Component Health,Duration of Fault (hrs),Down time (hrs)
F483,Overheating,"(34.2689, -118.3814)",1821,246,54,20,21,Thunderstorm,Scheduled,Faulty,3.7,2.2
F484,Overheating,"(34.1408, -118.4657)",2090,231,47,32,29,Windstorm,Scheduled,Overheated,2.9,3.6
F485,Overheating,"(34.52, -118.3647)",1860,240,53,40,25,Thunderstorm,Scheduled,Faulty,2.1,5.8
F486,Transformer Failure,"(34.1806, -118.5465)",1839,238,51,20,29,Rainy,Scheduled,Normal,5.8,1.8
F487,Overheating,"(34.764, -118.6415)",2234,246,54,37,15,Windstorm,Scheduled,Faulty,5.9,4.3
F488,Line Breakage,"(34.7611, -118.0196)",2092,227,47,22,24,Snowy,Completed,Overheated,3.3,6.7
F489,Transformer Failure,"(34.4867, -118.7092)",1846,197,52,29,22,Thunderstorm,Scheduled,Normal,2.4,5.0
F490,Overheating,"(34.5514, -118.7197)",2111,231,47,33,18,Rainy,Scheduled,Normal,4.4,3.9
F491,Overheating,"(34.5876, -118.5507)",2215,213,50,28,14,Clear,Pending,Faulty,4.7,3.2
F492,Line Breakage,"(34.319, -118.2205)",1864,180,54,24,14,Snowy,Completed,Normal,4.8,1.1
F493,Overheating,"(34.0498, -118.3679)",1912,223,51,28,11,Windstorm,Scheduled,Normal,5.3,2.7
F494,Transformer Failure,"(34.9919, -118.4969)",2270,221,49,20,11,Clear,Completed,Overheated,4.6,6.5
F495,Overheating,"(34.1828, -118.3112)",2167,237,48,22,14,Windstorm,Scheduled,Faulty,5.8,4.3
F496,Transformer Failure,"(34.0062, -118.9341)",2202,224,53,40,11,Clear,Scheduled,Overheated,3.5,1.0
F497,Line Breakage,"(34.8438, -118.1141)",1855,191,50,25,23,Clear,Pending,Normal,5.0,2.4
F498,Transformer Failure,"(34.0532, -118.4305)",1902,185,45,34,12,Windstorm,Pending,Faulty,4.7,1.0
F499,Transformer Failure,"(34.2564, -118.2993)",2134,191,53,38,19,Thunderstorm,Pending,Faulty,4.8,2.4
F500,Overheating,"(34.1408, -118.4325)",2039,232,54,37,28,Rainy,Completed,Faulty,2.5,2.5
F501,Transformer Failure,"(34.766, -118.5866)",2175,191,54,36,14,Windstorm,Scheduled,Faulty,5.2,1.5
F502,Overheating,"(34.7734, -118.9645)",1970,185,47,31,27,Thunderstorm,Completed,Normal,4.7,1.4
F503,Transformer Failure,"(34.2133, -118.1184)",2204,226,52,28,26,Rainy,Completed,Normal,3.7,1.4
F504,Transformer Failure,"(34.979, -118.5646)",2181,234,52,26,28,Thunderstorm,Scheduled,Overheated,6.0,6.3
F505,Overheating,"(34.5034, -118.4528)",2295,202,50,27,22,Snowy,Completed,Normal,4.2,3.0
F506,Line Breakage,"(34.4455, -118.5557)",1941,186,51,31,24,Thunderstorm,Completed,Faulty,2.3,6.8
